14648,16340,"Bob Carey",NULL,"Male",NULL,NULL,NULL,"Carey","Bob",NULL
16821,18738,"Alvaro Carillo",NULL,"Male","1921-12-02T00:00:00","Central America","San Juan Cacahuatepec, Oaxaca, Mexico","Carillo","Alvaro","1921-12-02T00:00:00"
9907,24329,"Frankie Carle","Francis Nuzio Carlone, Francisco Carlone","Male","1903-03-25T00:00:00","New England Conservatory","Providence, RI","Carle","Frankie","2001-03-07T00:00:00"
9907,24329,"Frankie Carle","Francis Nuzio Carlone, Francisco Carlone","Male","1903-03-25T00:00:00","New England Conservatory","Providence, RI","Carle","Frankie","2001-03-07T00:00:00"
14228,15877,"Frank Carlson",NULL,"Male",NULL,NULL,NULL,"Carlson","Frank",NULL
563,651,"Rune Carlsson",NULL,"Male",NULL,"Europe, Scandinavia","Sweden","Carlson","Rune",NULL
18655,20711,"Jack Carmen",NULL,"Male",NULL,NULL,NULL,"Carmen","Jack",NULL
1662,1895,"Hoagy Carmichael",NULL,"Male","1899-11-22T00:00:00","Midwest US","Bloomington, IN","Carmichael","Hoagland",NULL
4656,5113,"Harry Carney",NULL,"Male","1910-04-01T00:00:00","USA","Boston, Massachusetts","Carney","Harry",NULL
14042,15673,"Thelma Carpenter",NULL,"Female","1922-01-15T00:00:00",NULL,"Brooklyn, NY","Carpenter","Thelma","1997-05-14T00:00:00"
1317,1509,"Richard Carpenter",NULL,"Male",NULL,NULL,NULL,"Carpenter","Richard",NULL
18659,20715,"Ike Carpenter","Isaac M. Carpenter","Male","1920-03-11T00:00:00","Southern US","Durham, North Carolina","Carpenter","Ike","1920-03-11T00:00:00"
9510,10752,"Leroy Carr",NULL,"Male","1905-03-27T00:00:00","Indianapolis, IN","Nashville, TN","Carr","Leroy","1935-04-29T00:00:00"
7300,8326,"Mancy Carr","Peck Carr","Male","1900-01-01T00:00:00","USA","Charleston, West Virginia","Carr","Mancy","1900-12-31T00:00:00"
3711,4074,"Mike Carr",NULL,"Male","1937-12-07T00:00:00","United Kingdom","South Shields, County Durham, England","Carr","Mike",NULL
5385,5928,"Diahann Carroll",NULL,"Female","1935-07-17T00:00:00","New York, NY","New York, NY","Carroll","Diahann",NULL
5631,6197,"Baikida Carroll",NULL,"Male","1947-01-15T00:00:00","USA","St. Louis, Missouri","Carroll","Baikida","1947-01-15T00:00:00"
14765,16474,"Jimmy Carroll",NULL,"Male","1913-12-13T00:00:00","USA","New York, New York","Carroll","Jimmy","1913-12-13T00:00:00"
14565,16252,"Joe Carroll",NULL,"Male","1919-11-25T00:00:00",NULL,"Philadelphia, PA","Carroll","Joe","1981-02-01T00:00:00"
9727,10981,"Robert Carroll","Bob Carroll","Male","1905-01-01T00:00:00",NULL,NULL,"Carroll","Robert","1905-12-31T00:00:00"
12887,21650,"Scoops Carry","George Scoops Carry","Male",NULL,"Chicago, IL",NULL,"Carry","Scoops",NULL
12887,21650,"Scoops Carry","George Scoops Carry, Scoops Carey","Male","1915-01-23T00:00:00","Midwest US","Chicago, Illinois","Carry","Scoops","1915-01-23T00:00:00"
15660,17455,"Norma Carson",NULL,"Female",NULL,NULL,NULL,"Carson","Norma",NULL
10288,11571,"Chuck Carter",NULL,"Male",NULL,NULL,NULL,"Carter","Chuck",NULL
7044,8041,"Kent Carter",NULL,"Male","1939-06-14T00:00:00","New York City","Hanover, NH","Carter","Kent","1939-06-14T00:00:00"
356,368,"Ron Carter",NULL,"Male","1937-05-04T00:00:00","Southern US","Ferndale, MI","Carter","Ron",NULL
1013,1170,"Benny Carter",NULL,"Male","1907-08-08T00:00:00","Northeast US","New York, NY","Carter","Benny",NULL
7597,8642,"Bob Carter","Robert Kahakalau","Male","1922-02-11T00:00:00","USA","New Haven, Connecticut","Carter","Bob","1922-02-11T00:00:00"
619,711,"John Carter",NULL,"Male","1929-09-24T00:00:00","Western US","Fort Worth, TX","Carter","John",NULL
20082,23498,"Betty Carter","Lillie Mae Jones","Female","1929-05-16T00:00:00",NULL,"Flint, Michigan","Carter","Betty","1998-09-26T00:00:00"
5528,6091,"Erin Carter",NULL,"Female",NULL,NULL,NULL,"Carter","Erin",NULL
5529,6092,"Akili John Carter",NULL,"Male",NULL,NULL,NULL,"Carter","Akili John",NULL
5530,6093,"Jamaal Carter",NULL,"Male",NULL,NULL,NULL,"Carter","Jamaal",NULL
5531,6094,"Erica Carter",NULL,"Female",NULL,NULL,NULL,"Carter","Erica",NULL
17700,19686,"Cartola","Angenor de Oliveira","Male","1908-10-11T00:00:00",NULL,"Rio de Janeiro, Brazil","Cartola","Cartola","1980-11-30T00:00:00"
4773,5253,"Enrico Caruso",NULL,"Male",NULL,NULL,NULL,"Caruso","Enrico ",NULL
17658,19643,"Tavito","Luís Otávio de Melo Carvalho","Male","1948-01-26T00:00:00","Brazil",NULL,"Carvalho","Tavito","1948-01-26T00:00:00"
7015,8009,"Dick Cary","Richard Durant Cary","Male","1916-07-10T00:00:00","New York City","Hartford, CT","Cary","Dick","1994-04-06T00:00:00"
13961,15585,"Joe Casalaro",NULL,"Male",NULL,NULL,NULL,"Casalaro","Joe",NULL
19987,23303,"Jack Cascales","Juan Adolfo Cascales","Male","1918-01-01T00:00:00","Los Angeles, California","Mexico","Cascales","Jack","1918-12-31T00:00:00"
18747,20839,"Al Casey","Albert Aloysius Casey","Male","1915-09-15T00:00:00","Southern US","Louisville, Kentucky","Casey","Al","1915-09-15T00:00:00"
6664,7581,"Kenneth Casey",NULL,"Male","1899-01-10T00:00:00",NULL,NULL,"Casey","Kenneth","1965-08-10T00:00:00"
6119,6911,"Sam Cassano",NULL,"Male",NULL,NULL,NULL,"Cassano","Sam",NULL
17164,19117,"Agnes Castleton","Agnes Castelton","Female",NULL,NULL,NULL,"Castleton","Agnes",NULL
705,807,"Leonello Casucci",NULL,"Male",NULL,NULL,NULL,"Casucci","Leonello",NULL
7883,8951,"George Cates",NULL,"Male","1919-10-11T00:00:00","New York City","New York, NY","Cates","George","2010-05-10T00:00:00"
5209,5729,"Buddy Catlett",NULL,"Male","1933-05-13T00:00:00","Seattle, WA","Long Beach, CA","Catlett","Buddy",NULL
10358,11656,"Sid Catlett","Big Sid, Sidney Catlett","Male","1910-01-17T00:00:00","USA","Evansville, Indiana","Catlett","Sid","1910-01-17T00:00:00"
17146,19097,"William Cato","William Kato, Bill Cato","Male",NULL,NULL,NULL,"Cato","William",NULL
15187,16954,"Roy Caton",NULL,"Male",NULL,NULL,NULL,"Caton","Roy",NULL
18518,20536,"Almazor Cavalcante",NULL,"Male",NULL,"Brazil",NULL,"Cavalcante","Almazor",NULL
17474,19443,"Daniele Cavallanti",NULL,"Male",NULL,NULL,"Milan, Italy","Cavallanti","Daniele",NULL
20504,24093,"James Cavanaugh",NULL,"Male",NULL,NULL,NULL,"Cavanaugh","James",NULL
17686,19672,"Nelson Cavaquinho","Nelson Antônio da Silva","Male","1911-10-29T00:00:00",NULL,"Rio de Janeiro, Brazil","Cavaquinho","Nelson","1986-02-18T00:00:00"
14205,15854,"John Cave",NULL,"Male",NULL,NULL,NULL,"Cave","John",NULL
18016,20022,"Dorival Caymmi",NULL,"Male","1914-04-30T00:00:00",NULL,"Salvador, Bahia, Brazil","Caymmi","Dorival","2008-08-16T00:00:00"
18360,20375,"Danilo Caymmi","Danilo Candido Tostes Caymmi","Male","1948-03-07T00:00:00",NULL,"Rio de Janeiro, Brazil","Caymmi","Danilo","1948-03-07T00:00:00"
2374,2644,"Franco Cerri",NULL,"Male","1926-01-29T00:00:00","Europe","Milan, Italy","Cerri","Franco",NULL
18511,20529,"Chico Chagas",NULL,"Male","1971-05-23T00:00:00",NULL,"Rio Branco, Brazil","Chagas","Chico","1971-05-23T00:00:00"
7439,8474,"Jules Chaiken",NULL,"Male",NULL,NULL,NULL,"Chaiken","Jules",NULL
8007,9089,"Jean-Pierre Chalbos",NULL,"Male",NULL,"Paris, France",NULL,"Chalbos","Jean-Pierre",NULL
9402,10638,"Serge Chaloff",NULL,"Male","1923-11-24T00:00:00","Boston, MA","Boston, MA","Chaloff","Serge","1957-07-16T00:00:00"
5946,6720,"Jan Chalupský",NULL,NULL,NULL,"Czechoslovakia",NULL,"Chalupský","Jan",NULL
2822,3113,"Joe Chambers",NULL,"Male","1942-06-25T00:00:00","Southeast US","Stoneacre, VA","Chambers","Joseph",NULL
20685,24449,"Jim Chambers",NULL,"Male",NULL,NULL,NULL,"Chambers","Jim",NULL
150,162,"Paul Chambers",NULL,"Male","1935-04-22T00:00:00","Midwest US","Pittsburgh, PA","Chambers","Paul","1969-01-04T00:00:00"
4323,4747,"Dominique Chanson",NULL,"Male",NULL,NULL,NULL,"Chanson","Dominique",NULL
4767,5246,"Charlie Chaplin",NULL,"Male","1889-04-16T00:00:00","United Kingdom","London, England","Chaplin","Charlie",NULL
5117,5629,"Saul Chaplin",NULL,"Male","1912-02-19T00:00:00","USA","Brooklyn, New York","Chaplin","Saul",NULL
14258,15912,"Atlee Chapman",NULL,"Male",NULL,NULL,NULL,"Chapman","Atlee",NULL
1751,1999,"Marc Charig","Mark","Male","1944-02-22T00:00:00","United Kingdom","London, England","Charig","Marc",NULL
18672,20729,"Philip Charig",NULL,"Male","1902-08-31T00:00:00","Northeast US","New York, New York","Charig","Philip","1902-08-31T00:00:00"
6882,7858,"Jacques Charles",NULL,"Male",NULL,NULL,NULL,"Charles","Jacques",NULL
15329,17104,"Denis Charles",NULL,"Male","1933-12-04T00:00:00",NULL,"St. Croix, Virgin Islands","Charles","Denis","1933-12-04T00:00:00"
19316,21731,"Hersh Charles",NULL,"Male",NULL,NULL,NULL,"Charles","Hersh",NULL
2029,2286,"Teddy Charles",NULL,"Male","1928-04-13T00:00:00","Northeast US","Chicopee Falls, MA","Charles","Teddy",NULL
2149,2407,"Newell Chase",NULL,"Male","1904-02-03T00:00:00","Northeast US","West Roxbury, MA","Chase","Newell",NULL
4877,5365,"Jean-Louis Chautemps",NULL,"Male","1931-08-06T00:00:00",NULL,"Paris, France","Chautemps","Jean-Louis",NULL
11925,13307,"Jimmy Cheatham","James Cheatham","Male","1924-06-18T00:00:00","USA","Birmingham, Alabama","Cheatham","Jimmy","1924-06-18T00:00:00"
1087,1266,"Don Cherry",NULL,"Male","1936-11-18T00:00:00","Midwest US","Oklahoma City, OK","Cherry","Don",NULL
7790,8852,"Christian Chevallier",NULL,"Male","1930-07-12T00:00:00","Europe","Angers, Maine-et-Loire, France","Chevallier","Christian","1930-07-12T00:00:00"
6308,7139,"Kaoru Chiba","Bachi","Male","1928-01-01T00:00:00","Japan","Beppu, Japan","Chiba","Kaoru","2008-01-01T00:00:00"
14396,16055,"Buddy Childers",NULL,"Male","1926-02-12T00:00:00",NULL,"St. Louis, MO","Childers","Buddy","2007-05-24T00:00:00"
11607,12955,"Jon Christensen",NULL,"Male","1943-03-20T00:00:00",NULL,"Oslo, Norway","Christensen","Jon","1943-03-20T00:00:00"
4710,5181,"Jodie Christian",NULL,"Male","1932-02-03T00:00:00","USA","Chicago, Illinois","Christian","Jodie",NULL
11182,12525,"Charlie Christian",NULL,"Male","1916-07-29T00:00:00","Oklahoma City, OK",NULL,"Christian","Charlie","1942-03-02T00:00:00"
3799,4168,"Keith Christie",NULL,"Male","1931-01-06T00:00:00","United Kingdom","Blackpool, Lancashire, England","Christie","Keith",NULL
4062,4449,"Henri Christine",NULL,"Male","1867-12-27T00:00:00","Europe","Geneva, Switzerland","Christine","Henri",NULL
14100,15738,"June Christy",NULL,"Female","1925-11-20T00:00:00",NULL,"Springfield, IL","Christy","June","1990-06-21T00:00:00"
11195,12538,"Frank Churchill",NULL,"Male","1901-10-20T00:00:00","Los Angeles, CA","Rumford, Maine","Churchill","Frank","1942-05-14T00:00:00"
9702,10953,"Bob Ciano",NULL,"Male",NULL,NULL,NULL,"Ciano","Bob",NULL
14399,16058,"Joe Ciavardone",NULL,"Male",NULL,NULL,NULL,"Ciavardone","Joe",NULL
13614,15223,"Angelo Cicalese",NULL,"Male",NULL,NULL,NULL,"Cicalese","Angelo",NULL
14392,16051,"Mike Cicchetti",NULL,"Male",NULL,NULL,NULL,"Cicchetti","Mike",NULL
3092,3421,"Osvaldo Cigno",NULL,"Male",NULL,NULL,NULL,"Cigno","Osvaldo ",NULL
20254,23713,"Joe Cinderella","Joseph Cinderella","Male","1929-06-14T00:00:00",NULL,"Newark, NJ","Cinderella","Joe","1929-06-14T00:00:00"
2568,2850,"Sunny Clapp",NULL,NULL,NULL,NULL,NULL,"Clapp","Sunny",NULL
6096,6887,"Sidney Clare",NULL,"Male","1892-08-15T00:00:00","New York","New York, NY","Clare","Sidney","1972-08-29T00:00:00"
13653,15264,"The Clarinades",NULL,NULL,NULL,NULL,NULL,"Clarinades","The",NULL
2316,2586,"Bill Clark",NULL,"Male","1925-07-31T00:00:00",NULL,NULL,"Clark","William",NULL
7227,8250,"Henry Clark","Hy Clark","Male","1900-01-01T00:00:00","South America","British Guyana","Clark","Henry","1909-12-31T00:00:00"
359,371,"Sonny Clark",NULL,"Male","1931-07-21T00:00:00","Northeast US","Hermine, PA","Clark","Conrad Yeatis",NULL
8246,9343,"Buddy Clark",NULL,"Male","1912-07-26T00:00:00","USA","Dorchester, Massachusetts","Clark","Buddy","1912-07-26T00:00:00"
2713,3001,"Charles Clark",NULL,"Male",NULL,NULL,NULL,"Clark","Charles",NULL
7447,8483,"Grant Clarke",NULL,"Male","1891-05-14T00:00:00","USA","Akron, Ohio","Clarke","Grant","1891-05-14T00:00:00"
61,73,"Kenny Clarke",NULL,"Male","1914-01-09T00:00:00","Midwest US","Pittsburgh, PA","Clarke","Kenny",NULL
4066,4453,"Rene Albert Clausier",NULL,"Male",NULL,NULL,NULL,"Clausier","Rene",NULL
19286,21698,"Omar Clay",NULL,"Male",NULL,NULL,"St. Louis, MO","Clay","Omar",NULL
6169,6969,"Humberto Clayber",NULL,"Male","1937-01-01T00:00:00","Brazil","Sao Paolo, Brazil","Clayber","Humberto","1937-12-31T00:00:00"
6845,7815,"Buck Clayton","Wilbur Dorsey Clayton","Male","1911-11-12T00:00:00","USA","Parsons, Kansas","Clayton","Buck","1911-11-12T00:00:00"
9589,10836,"David Clayton-Thomas",NULL,"Male","1941-09-13T00:00:00",NULL,"Kingstown upon Thames, Surrey UK","Clayton-Thomas","David","1941-09-13T00:00:00"
570,658,"Jimmy Cleveland",NULL,"Male","1923-05-03T00:00:00","Southern US","Wartrace, TN","Cleveland","Jimmy",NULL
3241,3577,"Gordon Clifford",NULL,"Male","1902-01-01T00:00:00","exact date of birth unknown, but ca1902",NULL,"Clifford","Gordon",NULL
20177,23629,"Larry Clinton",NULL,"Male","1909-08-17T00:00:00",NULL,"Brooklyn, NY","Clinton","Larry","1985-05-02T00:00:00"
20349,23819,"Will D. Cobb",NULL,"Male","1876-07-06T00:00:00","USA",NULL,"Cobb","Will","1876-07-06T00:00:00"
2866,3158,"Arnett Cobb",NULL,"Male","1918-08-10T00:00:00","Southern US","Houston, TX","Cobb","Arnett",NULL
